"Longitude_Maxima","Latitude_Maxima","Daten_Maxima.Aktivität","Daten_Maxima.Zeitdauer_Transport","Daten_Maxima.Zeit_Auftreffen","Daten_Maxima.Freisetzung_Kraftwerk"
141.025689,37.316501,7.4e+13,1,90,89
144.367893714512,40.5557887101237,388337916061.952,3,96,89
141.356186793681,40.114586365093,120356376180.035,1,94,89
142.291545841511,40.6758050665727,275804464474.598,2,95,89
142.653775911831,42.7222240755994,1453839159345.37,3,96,89
143.416816523225,40.6281058899877,548146233879.973,2,95,89
144.111370375133,42.3316747107398,131353606870.507,3,96,89
145.635753180917,44.5046666935919,1170500159249.52,4,97,89
145.036719578031,40.8873170039506,101195084912.924,3,96,89
146.81343409072,42.5167129008211,24981091399.1756,4,97,89
146.120285816735,40.7173121963521,26426629231.0676,4,97,89
140.578369334376,39.7924038243982,1.85e+12,1,94,89
140.256186793681,39.014586365093,755698693966.164,1,94,89
140.975525096519,39.2513892448988,1094301306033.84,2,95,89
140.578369334376,39.7924038243982,1.85e+12,1,94,89
147.730474379016,44.2366839532731,662332416787.61,1,98,89
147.730474379016,45.3366839532731,331166208393.805,1,98,89
148.508291838321,45.0145014125783,331166208393.805,1,98,89
148.830474379016,44.2366839532731,331166208393.805,1,98,89
148.508291838321,43.4588664939679,231485301263.704,1,98,89
147.730474379016,43.1366839532731,47147112582.3503,1,98,89
146.515832342231,45.7746585347996,15535857577.0444,3,100,89
145.878289088819,46.3135237523697,28178978711.7609,4,101,89
146.952656919711,45.0145014125783,331166208393.805,1,98,89
146.630474379016,44.2366839532731,331166208393.805,1,98,89
146.952656919711,45.0145014125783,331166208393.805,1,98,89
149.022394929889,44.2541022524233,344764764737.58,1,98,89
149.022394929889,45.3541022524233,172382382368.79,1,98,89
149.800212389194,45.0319197117285,172382382368.79,1,98,89
150.122394929889,44.2541022524233,172382382368.79,1,98,89
149.800212389194,43.4762847931181,161864734049.351,1,98,89
149.022394929889,43.1541022524233,25738106132.0534,1,98,89
150.722775425039,45.5387857338062,35323157871.5377,3,100,89
149.161939641394,46.2010305703575,50228028161.9378,4,101,89
148.244577470584,45.0319197117285,172382382368.79,1,98,89
147.922394929889,44.2541022524233,172382382368.79,1,98,89
148.244577470584,45.0319197117285,172382382368.79,1,98,89
148.081240710125,42.4780710993143,11118263083.7423,1,98,89
148.987287983763,44.5542463693894,353596411070.044,1,98,89
